generation,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
1,4516,4429,4125,2624,2623,2623,2623,2402,1952,1734
2,4648,4626,4560,3981,922,917,720,720,715,715
3,4597,3395,3176,3176,3151,3149,3148,2804,2365,2266
4,4738,2877,2338,613,509,508,444,444,386,384
5,4851,3924,3923,969,968,968,872,871,722,619
6,4974,4868,4539,2895,2654,2524,715,715,714,714
7,4594,4463,2924,2505,2474,2473,2473,1815,616,615
8,4783,4541,1206,1152,975,973,971,970,970,970
9,4690,4080,2696,1886,1885,1885,1885,1327,1063,871
10,4779,4557,4282,3578,1068,1067,1066,1063,1063,1063

